"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Šetření","ZJIST","Kraje","Uz2","Roky","CasR","Hodnota"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2017","2017","30.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2018","2018","30.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2019","2019","27.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2020","2020","23.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2021","2021","22.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2022","2022","21.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2010","2010","43.4"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2011","2011","44.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2012","2012","48.5"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2013","2013","52.7"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2014","2014","55.6"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2015","2015","59.4"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2016","2016","62.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2017","2017","74.9"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2018","2018","83.2"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2019","2019","76.3"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2020","2020","69.3"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2021","2021","69.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Hlavní město Praha","CZ010","2022","2022","73"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2010","2010","13.7"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2011","2011","13.5"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2012","2012","14.2"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2013","2013","14.2"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2014","2014","15.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2015","2015","18.7"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2016","2016","19.3"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2017","2017","17.5"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2018","2018","14.4"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2019","2019","16.8"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2020","2020","17.2"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2021","2021","18.2"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","317AF","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Středočeský kraj","CZ020","2022","2022","15"
